A1,A2,b0         , kb
C  ,C ,0.15250,259408.0
C  ,CA,0.14090,392459.2
C  ,CB,0.14190,374049.6
C  ,CM,0.14440,343088.0
C  ,CS,0.14440,343088.0
C  ,CT,0.15220,265265.6
C  ,CX,0.15220,265265.6
C  ,N ,0.13350,410032.0
C  ,N*,0.13830,354803.2
C  ,NA,0.13880,349782.4
C  ,NC,0.13580,382417.6
C  ,O ,0.12290,476976.0
C  ,O2,0.12500,548940.8
C  ,OH,0.13640,376560.0
C  ,OS,0.13230,376560.0
C  ,H4,0.10800,307105.6
C  ,H5,0.10800,307105.6
CA ,CA,0.14000,392459.2
CA ,CB,0.14040,392459.2
CA ,CM,0.14330,357313.6
CA ,CS,0.14330,357313.6
CA ,CN,0.14000,392459.2
CA ,CT,0.15100,265265.6
CA ,HA,0.10800,307105.6
CA ,H4,0.10800,307105.6
CA ,N2,0.13400,402500.8
CA ,NA,0.13810,357313.6
CA ,NC,0.13390,404174.4
CA ,OH,0.13640,376560.0
CB ,CB,0.13700,435136.0
CB ,N*,0.13740,364844.8
CB ,NB,0.13910,346435.2
CB ,NC,0.13540,385764.8
CD ,HA,0.10800,307105.6
CD ,CD,0.14000,392459.2
CD ,CM,0.13500,459403.2
CD ,CS,0.13500,459403.2
CD ,CT,0.15100,265265.6
CK ,H5,0.10800,307105.6
CK ,N*,0.13710,368192.0
CK ,NB,0.13040,442667.2
CP ,H5,0.10800,307105.6
CP ,N*,0.13710,368192.0
CP ,NB,0.13040,442667.2
CM ,CM,0.13500,459403.2
CM ,CT,0.15100,265265.6
CM ,HA,0.10800,307105.6
CM ,H4,0.10800,307105.6
CM ,H5,0.10800,307105.6
CM ,N*,0.13650,374886.4
CM ,OS,0.12400,401664.0
CS ,CS,0.13500,459403.2
CS ,CT,0.15100,265265.6
CS ,HA,0.10800,307105.6
CS ,H4,0.10800,307105.6
CS ,H5,0.10800,307105.6
CS ,N*,0.13650,374886.4
CS ,OS,0.12400,401664.0
CQ ,H5,0.10800,307105.6
CQ ,NC,0.13240,420073.6
CT ,CT,0.15260,259408.0
CX ,CT,0.15260,259408.0
CT ,HC,0.10900,284512.0
CT ,H1,0.10900,284512.0
CX ,H1,0.10900,284512.0
CT ,H2,0.10900,284512.0
CT ,H3,0.10900,284512.0
CT ,HP,0.10900,284512.0
CX ,HP,0.10900,284512.0
CT ,N*,0.14750,282001.6
CT ,N2,0.14630,282001.6
CT ,OH,0.14100,267776.0
CT ,OS,0.14100,267776.0
C* ,HC,0.10800,307105.6
C* ,CB,0.14590,324678.4
C* ,CT,0.14950,265265.6
C* ,CW,0.13520,456892.8
CB ,CN,0.14190,374049.6
CC ,CT,0.15040,265265.6
CC ,CV,0.13750,428441.6
CC ,CW,0.13710,433462.4
CC ,NA,0.13850,353129.6
CC ,NB,0.13940,343088.0
CN ,NA,0.13800,358150.4
CR ,H5,0.10800,307105.6
CR ,NA,0.13430,399153.6
CR ,NB,0.13350,408358.4
CT ,N ,0.14490,282001.6
CX ,N ,0.14490,282001.6
CT ,N3,0.14710,307105.6
CX ,N3,0.14710,307105.6
CT ,NT,0.14710,307105.6
CT ,S ,0.18100,189953.6
CT ,SH,0.18100,198321.6
CT ,CY,0.14580,334720.0
CT ,CZ,0.14590,334720.0
CV ,H4,0.10800,307105.6
CV ,NB,0.13940,343088.0
CW ,H4,0.10800,307105.6
CW ,NA,0.13810,357313.6
CY ,NY,0.11500,502080.0
CZ ,CZ,0.12060,502080.0
CZ ,HZ,0.10560,334720.0
OP ,P ,0.14800,439320.0
O2 ,P ,0.14800,439320.0
OH ,P ,0.16100,192464.0
OS ,P ,0.16100,192464.0
NA ,P ,0.18400,209200.0
H  ,N2,0.10100,363171.2
H  ,N*,0.10100,363171.2
H  ,NA,0.10100,363171.2
H  ,N ,0.10100,363171.2
H  ,N3,0.10100,363171.2
H  ,NT,0.10100,363171.2
HO ,OH,0.09600,462750.4
HO ,OS,0.09600,462750.4
HS ,SH,0.13360,229283.2
S  ,S ,0.20380,138908.8
F  ,CT,0.13800,307105.6
Cl ,CT,0.17660,194137.6
Br ,CT,0.19440,133051.2
I  ,CT,0.21660,123846.4
F  ,CA,0.13590,323004.8
Cl ,CA,0.17270,161502.4
I  ,CA,0.20750,143092.8
Br ,CA,0.18900,143929.6
EP ,O ,0.02000,502080.0
EP ,OH,0.02000,502080.0
EP ,OS,0.02000,502080.0
EP ,N3,0.02000,502080.0
EP ,NT,0.02000,502080.0
EP ,NB,0.02000,502080.0
EP ,NC,0.02000,502080.0
EP ,S ,0.07000,502080.0
EP ,SH,0.07000,502080.0
CI ,H1,0.10900,284512.0
CI ,CT,0.15260,259408.0
OS ,CI,0.14100,267776.0
OH ,CI,0.14100,267776.0
C5 ,H5,0.10800,307105.6
C5 ,N*,0.13710,368192.0
C5 ,NB,0.13040,442667.2
C  ,C4,0.14440,343088.0
CA ,C4,0.14330,357313.6
C4 ,C4,0.13500,459403.2
C4 ,CT,0.15100,265265.6
C4 ,HA,0.10800,307105.6
C4 ,H4,0.10800,307105.6
C4 ,N*,0.13650,374886.4
C  ,2C,0.15220,265265.6
C* ,2C,0.14950,265265.6
C8 ,C8,0.15260,259408.0
C8 ,CX,0.15260,259408.0
C8 ,H1,0.10900,284512.0
C8 ,HC,0.10900,284512.0
C8 ,HP,0.10900,284512.0
C8 ,N2,0.14630,282001.6
C8 ,N3,0.14710,307105.6
CA ,2C,0.15100,265265.6
CC ,2C,0.15040,265265.6
CO ,O2,0.12500,548940.8
CO ,2C,0.15220,265265.6
CT ,2C,0.15260,259408.0
CT ,3C,0.15260,259408.0
CX ,2C,0.15260,259408.0
CX ,3C,0.15260,259408.0
H1 ,2C,0.10900,284512.0
H1 ,3C,0.10900,284512.0
HC ,2C,0.10900,284512.0
HC ,3C,0.10900,284512.0
OH ,2C,0.14100,267776.0
OH ,3C,0.14100,267776.0
S  ,2C,0.18100,189953.6
SH ,2C,0.18100,198321.6
2C ,2C,0.15260,259408.0
2C ,3C,0.15260,259408.0
CE ,H1,0.10900,284512.0
CE ,CT,0.15260,259408.0
OS ,CE,0.14100,267776.0
CE ,OH,0.14100,267776.0
C1 ,H5,0.10800,307105.6
C1 ,N*,0.13710,368192.0
C1 ,NB,0.13040,442667.2
C  ,C2,0.14440,343088.0
C2 ,C2,0.13500,459403.2
C2 ,CT,0.15100,265265.6
C2 ,HA,0.10800,307105.6
C2 ,H4,0.10800,307105.6
C2 ,N*,0.13650,374886.4