name      ,at.num  ,mass     ,charge  ,sigma      ,epsilon
Br        ,35,79.90,0.0000,4.64693×10^-01,2.45414×10^-01
C         ,6,12.01,0.0000,3.39967×10^-01,3.59824×10^-01
CA        ,6,12.01,0.0000,3.39967×10^-01,3.59824×10^-01
CB        ,6,12.01,0.0000,3.39967×10^-01,3.59824×10^-01
CC        ,6,12.01,0.0000,3.39967×10^-01,3.59824×10^-01
CD        ,6,12.01,0.0000,3.39967×10^-01,3.59824×10^-01
CI        ,6,12.01,0.0000,3.39967×10^-01,4.5773×10^-01
CE        ,6,12.001,0.0000,3.39967×10^-01,4.5773×10^-01
CK        ,6,12.01,0.0000,3.39967×10^-01,3.59824×10^-01
CM        ,6,12.01,0.0000,3.39967×10^-01,3.59824×10^-01
CN        ,6,12.01,0.0000,3.39967×10^-01,3.59824×10^-01
CO        ,6,12.01,0.0000,3.39967×10^-01,3.59824×10^-01
CP        ,6,12.01,0.0000,3.39967×10^-01,3.59824×10^-01
CQ        ,6,12.01,0.0000,3.39967×10^-01,3.59824×10^-01
CR        ,6,12.01,0.0000,3.39967×10^-01,3.59824×10^-01
CS        ,6,12.01,0.0000,3.39967×10^-01,3.59824×10^-01
CT        ,6,12.01,0.0000,3.39967×10^-01,4.5773×10^-01
CV        ,6,12.01,0.0000,3.39967×10^-01,3.59824×10^-01
CW        ,6,12.01,0.0000,3.39967×10^-01,3.59824×10^-01
CX        ,6,12.01,0.0000,3.39967×10^-01,4.5773×10^-01
CY        ,6,12.01,0.0000,3.39967×10^-01,3.59824×10^-01
CZ        ,6,12.01,0.0000,3.39967×10^-01,3.59824×10^-01
C*        ,6,12.01,0.0000,3.39967×10^-01,3.59824×10^-01
C4        ,6,12.01,0.0000,3.39967×10^-01,3.59824×10^-01
C1        ,6,12.01,0.0000,3.39967×10^-01,3.59824×10^-01
C2        ,6,12.01,0.0000,3.39967×10^-01,3.59824×10^-01
C5        ,6,12.01,0.0000,3.39967×10^-01,3.59824×10^-01
C8        ,6,12.01,0.0000,3.39967×10^-01,4.5773×10^-01
2C        ,6,12.01,0.0000,3.39967×10^-01,4.5773×10^-01
3C        ,6,12.01,0.0000,3.39967×10^-01,4.5773×10^-01
C0        ,20,40.08,0.0000,3.0524×10^-01,1.92376×10^+00
F         ,9,19.00,0.0000,3.11815×10^-01,2.55224×10^-01
H         ,1,1.008,0.0000,1.06908×10^-01,6.56888×10^-02
HO        ,1,1.008,0.0000,0×10^+00,0×10^+00
HS        ,1,1.008,0.0000,1.06908×10^-01,6.56888×10^-02
HC        ,1,1.008,0.0000,2.64953×10^-01,6.56888×10^-02
H1        ,1,1.008,0.0000,2.47135×10^-01,6.56888×10^-02
H2        ,1,1.008,0.0000,2.29317×10^-01,6.56888×10^-02
H3        ,1,1.008,0.0000,2.11499×10^-01,6.56888×10^-02
HP        ,1,1.008,0.0000,1.95998×10^-01,6.56888×10^-02
HA        ,1,1.008,0.0000,2.59964×10^-01,6.276×10^-02
H4        ,1,1.008,0.0000,2.51055×10^-01,6.276×10^-02
H5        ,1,1.008,0.0000,2.42146×10^-01,6.276×10^-02
HW        ,1,1.008,0.0000,0×10^+00,0×10^+00
HZ        ,1,1.008,0.0000,2.59964×10^-01,6.276×10^-02
I         ,53,126.9,0.0000,5.09595×10^-01,2.24604×10^-01
Cl        ,17,35.45,0.0000,4.09457×10^-01,2.66359502
Na        ,11,22.99,0.0000,2.55153×10^-01,0.090124406
MG        ,12,24.305,0.0000,1.41225×10^-01,3.74342×10^+00
N         ,7,14.01,0.0000,3.25×10^-01,7.1128×10^-01
NA        ,7,14.01,0.0000,3.25×10^-01,7.1128×10^-01
NB        ,7,14.01,0.0000,3.25×10^-01,7.1128×10^-01
NC        ,7,14.01,0.0000,3.25×10^-01,7.1128×10^-01
N2        ,7,14.01,0.0000,3.25×10^-01,7.1128×10^-01
N3        ,7,14.01,0.0000,3.25×10^-01,7.1128×10^-01
NT        ,7,14.01,0.0000,3.25×10^-01,7.1128×10^-01
N*        ,7,14.01,0.0000,3.25×10^-01,7.1128×10^-01
NY        ,7,14.01,0.0000,3.25×10^-01,7.1128×10^-01
O         ,8,16.00,0.0000,2.95992×10^-01,8.7864×10^-01
O2        ,8,16.00,0.0000,2.95992×10^-01,8.7864×10^-01
OW        ,8,16.00,0.0000,3.16655×10^-01,8.903586×10^-01
OH        ,8,16.00,0.0000,3.06647×10^-01,8.80314×10^-01
OS        ,8,16.00,0.0000,3.00001×10^-01,7.1128×10^-01
OP        ,8,16.00,0.0000,3.29633×10^-01,7.1128×10^-01
P         ,15,30.97,0.0000,3.74177×10^-01,8.368×10^-01
S         ,16,32.06,0.0000,3.56359×10^-01,1.046×10^+00
SH        ,16,32.06,0.0000,3.56359×10^-01,1.046×10^+00
CU        ,29,63.55,0.0000,3.39967×10^-01,3.59824×10^-01
FE        ,26,55.00,0.0000,0×10^+00,0×10^+00
K         ,19,39.10,0.0000,2.93283×10^-01,0.43586389
Rb        ,37,85.47,0.0000,3.2304×10^-01,1.37161×10^+00
Cs        ,55,132.91,0.0000,3.52084×10^-01,1.70096×10^+00